"","Category","RGS","AC","PValue"
"2","Extracellular material: collagen",33,184,7.42344857708616e-51
"8","Signaling: hedgehog-like",2,89,0.00887310107765441
"9","Stress response: dauer",1,8,0.0136564134352704
"1","Chaperone: cyclophilin",1,28,0.0433265185900706
"3","Extracellular material: cuticlin",1,35,0.0534944656687499
"10","Transcription factor: bHLH",1,36,0.0549379971289823
"7","Proteolysis general: metallopeptidase",1,123,0.172301025081602
"4","mRNA functions: processing",1,296,0.363454981125127
"6","Non-coding RNA: snoRNA",1,344,0.408033257014546
"11","Transmembrane protein: seven transmembrane receptor",1,1473,0.889319162099651
"12","Unassigned",2,6343,0.998674312858993
"5","Non-coding RNA: ncRNA",2,7850,0.999763177911395
