"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"1","WBGene00000005","T13A10.10","Transmembrane transport","Transmembrane transport: amino acid","Transmembrane transport: amino acid","aat-4 is an ortholog of human SLC7A11 (solute carrier family 7 member 11), SLC7A6 (solute carrier family 7 member 6), and SLC7A7 (solute carrier family 7 member 7)\; is predicted to have transmembrane transporter activity."
"2","WBGene00000016","T22H6.5","Stress response","Stress response: pathogen","Stress response: pathogen: ASABF","abf-5 is enriched in the FLP based on microarray studies\; is affected by several genes including daf-16, daf-2, and skn-1 based on microarray, tiling array, and RNA-seq studies\; is affected by six chemicals including resveratrol, Quercetin, and Hydrolyzable Tannins based on microarray studies."
"3","WBGene00000039","C42D8.5","Development","Development: somatic","Development: somatic","acn-1 is an ortholog of human ACE2\; is predicted to have metallopeptidase activity and peptidyl-dipeptidase activity\; is involved in ecdysis, collagen and cuticulin-based cuticle, nematode male tail tip morphogenesis, and plasma membrane fusion\; is expressed in the epithelial system, the excretory gland cell, the male, and the vulva\; human orthologs of this gene are implicated in Alzheimer's disease."
"4","WBGene00000040","ZK455.1","Metabolism","Metabolism: unassigned","Metabolism: unassigned","aco-1 is an ortholog of human ACO1\; exhibits RNA binding activity and aconitate hydratase activity\; is involved in tricarboxylic acid metabolic process\; localizes to the cytosol\; is expressed in the hypodermis and the intestine."
"5","WBGene00000044","K03F8.2","Transmembrane transport","Transmembrane transport: nicotinic acid receptor","Transmembrane transport: nicotinic acid receptor","acr-5 is an ortholog of human HTR3A (5-hydroxytryptamine receptor 3A), ZACN (zinc activated ion channel), and CHRFAM7A and members of the human CHRN (Cholinergic receptors nicotinic subunits) gene family including CHRNA9, CHRNA7, and CHRNA10\; is predicted to have extracellular ligand-gated ion channel activity and transmembrane signaling receptor activity\; is expressed in the head, the nervous system, and the tail."
"6","WBGene00000073","F57F5.4","Cytoskeleton","Cytoskeleton: unassigned","Cytoskeleton: unassigned","add-2 is an ortholog of human ADD1, ADD2, and ADD3\; is predicted to have actin binding activity\; human orthologs of this gene are implicated in essential hypertension."
"7","WBGene00000133","C05E11.4","Transmembrane transport","Transmembrane transport: ammonium","Transmembrane transport: ammonium","amt-1 is predicted to have ammonium transmembrane transporter activity."
"8","WBGene00000135","M195.3","Transmembrane transport","Transmembrane transport: ammonium","Transmembrane transport: ammonium","amt-3 is predicted to have ammonium transmembrane transporter activity\; is expressed in the head, the intestine, the nervous system, and the tail."
"9","WBGene00000171","Y69E1A.7","Transmembrane transport","Transmembrane transport: aquaporin","Transmembrane transport: aquaporin","aqp-3 is an ortholog of human AQP10 (aquaporin 10) and AQP9 (aquaporin 9)\; exhibits water channel activity\; is involved in glycerol transport and water transport\; is expressed in the excretory cell, the intestine, and vas deferens."
"10","WBGene00000174","C32C4.2","Transmembrane transport","Transmembrane transport: aquaporin","Transmembrane transport: aquaporin","aqp-6 is an ortholog of human AQP8 (aquaporin 8)\; exhibits water channel activity\; is involved in water transport\; localizes to the neuronal cell body and non-motile cilium\; is expressed in the head, the inner labial sensillum, and the nervous system."
"11","WBGene00000214","Y39B6A.20","Proteolysis general","Proteolysis general: aspartate","Proteolysis general: aspartate: cathepsin","asp-1 is an ortholog of human PGA4, NAPSA, and PGA5\; is predicted to have aspartic-type endopeptidase activity\; localizes to the cytoplasm and external side of apical plasma membrane\; is expressed in the intestine."
"12","WBGene00000215","T18H9.2","Proteolysis general","Proteolysis general: aspartate","Proteolysis general: aspartate: unassigned","asp-2 is an ortholog of human PGA4, NAPSA, and PGA5\; is predicted to have aspartic-type endopeptidase activity."
"13","WBGene00000216","H22K11.1","Proteolysis general","Proteolysis general: aspartate","Proteolysis general: aspartate: unassigned","asp-3 is an ortholog of human PGA4, NAPSA, and PGA5\; is predicted to have aspartic-type endopeptidase activity\; is involved in necrotic cell death\; localizes to the lysosome\; is expressed in the intestine and uterus."
"14","WBGene00000233","R11G10.1","Transmembrane transport","Transmembrane transport: glutamate channel","Transmembrane transport: glutamate channel","avr-15 is an ortholog of human GLRA4 (glycine receptor alpha 4), GLRA3 (glycine receptor alpha 3), and GLRA2 (glycine receptor alpha 2)\; is predicted to have extracellular ligand-gated ion channel activity and transmembrane signaling receptor activity\; is involved in action potential, locomotion involved in locomotory behavior, and regulation of pharyngeal pumping\; is expressed in several tissues, including the alimentary system, the male, and the nervous system\; human orthologs of this gene are implicated in hyperekplexia 1 and hyperekplexia 2."
"15","WBGene00000252","F59E12.12","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","bli-2 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of collagen and cuticulin-based cuticle\; is involved in collagen and cuticulin-based cuticle development."
"16","WBGene00000288","T07G12.1","Signaling","Signaling: calcium","Signaling: calcium: calmodulin","cal-4 is an ortholog of human CALML6 (calmodulin like 6)\; is predicted to have calcium ion binding activity\; is expressed in the anal depressor muscle, the body wall musculature, and the reproductive system."
"17","WBGene00000370","Y73F8A.6","Unassigned","Unassigned","Unassigned: regulated by multiple stresses","ccg-1 is enriched in the PLM, the coelomocyte, the germ line, and the muscle cell based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on microarray, proteomic, and RNA-seq studies\; is affected by eight chemicals including aldicarb, Rotenone, and D-glucose based on microarray and RNA-seq studies."
