"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"1","WBGene00000002","F27C8.1","Transmembrane transport","Transmembrane transport: amino acid","Transmembrane transport: amino acid","aat-1 is an ortholog of human SLC7A5 (solute carrier family 7 member 5) and SLC7A8 (solute carrier family 7 member 8)\; contributes to L-amino acid transmembrane transporter activity\; is involved in amino acid transmembrane transport\; localizes to the amino acid transport complex\; is expressed in several tissues, including the alimentary system, the excretory system, the nervous system, the reproductive system, and the tail\; human orthologs of this gene are implicated in lysinuric protein intolerance."
"2","WBGene00000005","T13A10.10","Transmembrane transport","Transmembrane transport: amino acid","Transmembrane transport: amino acid","aat-4 is an ortholog of human SLC7A11 (solute carrier family 7 member 11), SLC7A6 (solute carrier family 7 member 6), and SLC7A7 (solute carrier family 7 member 7)\; is predicted to have transmembrane transporter activity."
"3","WBGene00000007","T11F9.4","Transmembrane transport","Transmembrane transport: amino acid","Transmembrane transport: amino acid","aat-6 is an ortholog of human SLC7A11 (solute carrier family 7 member 11), SLC7A6 (solute carrier family 7 member 6), and SLC7A7 (solute carrier family 7 member 7)\; is predicted to have transmembrane transporter activity."
"4","WBGene00000009","F28F9.4","Transmembrane transport","Transmembrane transport: amino acid","Transmembrane transport: amino acid","aat-8 is an ortholog of human SLC7A11 (solute carrier family 7 member 11), SLC7A6 (solute carrier family 7 member 6), and SLC7A7 (solute carrier family 7 member 7)\; is predicted to have transmembrane transporter activity."
"5","WBGene00000016","T22H6.5","Stress response","Stress response: pathogen","Stress response: pathogen: ASABF","abf-5 is enriched in the FLP based on microarray studies\; is affected by several genes including daf-16, daf-2, and skn-1 based on microarray, tiling array, and RNA-seq studies\; is affected by six chemicals including resveratrol, Quercetin, and Hydrolyzable Tannins based on microarray studies."
"6","WBGene00000039","C42D8.5","Development","Development: somatic","Development: somatic","acn-1 is an ortholog of human ACE2\; is predicted to have metallopeptidase activity and peptidyl-dipeptidase activity\; is involved in ecdysis, collagen and cuticulin-based cuticle, nematode male tail tip morphogenesis, and plasma membrane fusion\; is expressed in the epithelial system, the excretory gland cell, the male, and the vulva\; human orthologs of this gene are implicated in Alzheimer's disease."
"7","WBGene00000047","ZC504.2","Neuronal function","Neuronal function: synaptic function","Neuronal function: synaptic function: neurotransmitter receptor","acr-8 is an ortholog of human CHRNA6 (cholinergic receptor nicotinic alpha 6 subunit), CHRNB3 (cholinergic receptor nicotinic beta 3 subunit), and CHRNA4 (cholinergic receptor nicotinic alpha 4 subunit)\; is predicted to have acetylcholine-gated cation-selective channel activity and transmembrane signaling receptor activity\; is expressed in the head, the muscular system, and the nervous system\; human orthologs of this gene are implicated in autosomal dominant nocturnal frontal lobe epilepsy (multiple), congenital myasthenic syndrome (multiple), and multiple pterygium syndrome."
"8","WBGene00000055","F25G6.3","Neuronal function","Neuronal function: synaptic function","Neuronal function: synaptic function: neurotransmitter receptor","acr-16 is an ortholog of human CHRFAM7A and CHRNA7 (cholinergic receptor nicotinic alpha 7 subunit)\; exhibits acetylcholine-gated cation-selective channel activity\; is involved in ion transmembrane transport\; localizes to the cell projection\; is expressed in several tissues, including the linker cell, the muscular system, and the nervous system."
"9","WBGene00000067","T25C8.2","Cytoskeleton","Cytoskeleton: actin function","Cytoskeleton: actin function: actin","act-5 is an ortholog of human ACTC1 (actin, alpha, cardiac muscle 1), ACTA1 (actin, alpha 1, skeletal muscle), and ACTA2 (actin, alpha 2, smooth muscle, aorta)\; is predicted to have ATP binding activity\; is involved in several processes, including larval feeding behavior, microvillus assembly, and nematode larval development\; localizes to the microvillar actin bundle and terminal web\; is expressed in the alimentary system, the excretory cell, and the gonad\; human orthologs of this gene are implicated in several diseases, including artery disease (multiple), intrinsic cardiomyopathy (multiple), and myopathy (multiple)."
"10","WBGene00000082","C02B4.1","Proteolysis general","Proteolysis general: metallopeptidase","Proteolysis general: metallopeptidase","adt-1 is an ortholog of human ADAMTS14 (ADAM metallopeptidase with thrombospondin type 1 motif 14), ADAMTS2 (ADAM metallopeptidase with thrombospondin type 1 motif 2), and ADAMTS3 (ADAM metallopeptidase with thrombospondin type 1 motif 3)\; is predicted to have metal ion binding activity and metalloendopeptidase activity\; is expressed in several tissues, including the muscular system, the nervous system, and the vulva."
"11","WBGene00000083","F08C6.1","Proteolysis general","Proteolysis general: metallopeptidase","Proteolysis general: metallopeptidase","adt-2 is an ortholog of human ADAMTS14 (ADAM metallopeptidase with thrombospondin type 1 motif 14), ADAMTS2 (ADAM metallopeptidase with thrombospondin type 1 motif 2), and ADAMTS3 (ADAM metallopeptidase with thrombospondin type 1 motif 3)\; is predicted to have metal ion binding activity and metalloendopeptidase activity\; is involved in several processes, including collagen fibril organization, determination of adult lifespan, and positive regulation of growth\; is expressed in the socket cell and the vulva."
"12","WBGene00000133","C05E11.4","Transmembrane transport","Transmembrane transport: ammonium","Transmembrane transport: ammonium","amt-1 is predicted to have ammonium transmembrane transporter activity."
"13","WBGene00000169","F32A5.5","Transmembrane transport","Transmembrane transport: aquaporin","Transmembrane transport: aquaporin","aqp-1 is an ortholog of human AQP10 (aquaporin 10) and AQP9 (aquaporin 9)\; exhibits substrate-specific channel activity\; is involved in defense response to Gram-negative bacterium, glycerol transport, and innate immune response\; localizes to the basolateral plasma membrane\; is expressed in the intestine and the pharynx."
"14","WBGene00000174","C32C4.2","Transmembrane transport","Transmembrane transport: aquaporin","Transmembrane transport: aquaporin","aqp-6 is an ortholog of human AQP8 (aquaporin 8)\; exhibits water channel activity\; is involved in water transport\; localizes to the neuronal cell body and non-motile cilium\; is expressed in the head, the inner labial sensillum, and the nervous system."
"15","WBGene00000213","W03G1.7","Metabolism","Metabolism: lipid","Metabolism: lipid: sphingolipid","asm-3 is an ortholog of human SMPD1\; is predicted to have sphingomyelin phosphodiesterase activity."
"16","WBGene00000215","T18H9.2","Proteolysis general","Proteolysis general: aspartate","Proteolysis general: aspartate: unassigned","asp-2 is an ortholog of human PGA4, NAPSA, and PGA5\; is predicted to have aspartic-type endopeptidase activity."
"17","WBGene00000220","K08F8.2","Transcription factor","Transcription factor: bZIP","Transcription factor: bZIP","atf-2 is an ortholog of human NFIL3 (nuclear factor, interleukin 3 regulated)\; exhibits RNA polymerase II regulatory region DNA binding activity\; is involved in negative regulation of transcription by RNA polymerase II\; is expressed in several tissues, including egg-laying apparatus, the digestive tract, the excretory system, and the nervous system."
